grid_id,iso_week,cumulative_rainfall_mm,ndvi
LS-00057,2026-W30,4.636874675750732,0.8424352517685473
LS-00058,2026-W30,4.636874675750732,0.8264525468584855
LS-00059,2026-W30,4.165942091494799,0.8615282261406201
LS-00060,2026-W30,4.636874675750732,0.8599156451361578
LS-00061,2026-W30,4.636874675750732,0.8454580411161763
LS-00062,2026-W30,4.636874675750732,0.8525588306968257
LS-00063,2026-W30,4.129716508090497,0.8404158147967968
LS-00064,2026-W30,4.0956052583479226,0.8230171910744833
LS-00065,2026-W30,4.636874675750732,0.8228318639024477
LS-00066,2026-W30,4.636874675750732,0.8204245338624746
LS-00067,2026-W30,4.636874675750732,0.8551069495139446
LS-00068,2026-W30,4.075378132984042,0.8471859001108728
LS-00069,2026-W30,4.636874675750732,0.639375723217164
LS-00070,2026-W30,4.636874675750732,0.56230287131288
LS-00071,2026-W30,4.636874675750732,0.8369725733430334
LS-00072,2026-W30,4.636874675750732,0.4804254605703502
LS-00073,2026-W30,4.636874675750732,0.8388390308469871
LS-00074,2026-W30,4.636874675750732,0.5425586743349061
LS-00075,2026-W30,4.636874675750732,0.8478375110500113
LS-00076,2026-W30,4.636874675750732,0.4366278778241972
LS-00077,2026-W30,4.636874675750732,0.844389725309455
LS-00078,2026-W30,4.636874675750732,0.4850209284240099
LS-00079,2026-W30,4.636874675750732,0.8447979127422596
LS-00080,2026-W30,4.636874675750732,0.8763053920660804
LS-00081,2026-W30,4.636874675750732,0.8699266315588894
LS-00082,2026-W30,4.636874675750732,0.8556257264348103
LS-00083,2026-W30,4.636874675750732,0.8465951869585309
LS-00084,2026-W30,4.636874675750732,0.8557119778461155
LS-00085,2026-W30,4.636874675750732,0.8456773616557461
LS-00086,2026-W30,4.636874675750732,0.8470336359884129
LS-00087,2026-W30,4.636874675750732,0.840709400426859
LS-00088,2026-W30,4.636874675750732,0.8361961132787595
LS-00089,2026-W30,4.636874675750732,0.8597562231956668
LS-00090,2026-W30,4.636874675750732,0.8593833514948033
LS-00091,2026-W30,4.636874675750732,0.861264048292684
LS-00092,2026-W30,4.636874675750732,0.8635223466836632
LS-00093,2026-W30,4.636874675750732,0.8577340547500139
LS-00094,2026-W30,4.636874675750732,0.8695990756931743
LS-00095,2026-W30,4.636874675750732,0.856007298242729
LS-00096,2026-W30,4.636874675750732,0.8535512231318187
LS-00097,2026-W30,4.636874675750732,0.8349499711971167
LS-00098,2026-W30,4.636874675750732,0.8153169563740752
LS-00099,2026-W30,4.636874675750732,0.8330022489789435
LS-00100,2026-W30,4.636874675750732,0.7777287264761759
LS-00101,2026-W30,4.636874675750732,0.8632645469573114
LS-00102,2026-W30,4.636874675750732,0.8573804309372874
LS-00103,2026-W30,4.636874675750732,0.863044210739912
LS-00104,2026-W30,4.636874675750732,0.8633563598934422
LS-00105,2026-W30,4.636874675750732,0.8486050670477766
LS-00106,2026-W30,4.636874675750732,0.8719880276476552
LS-00107,2026-W30,4.636874675750732,0.83264806337978
LS-00108,2026-W30,4.636874675750732,0.8193861601780659
LS-00109,2026-W30,4.636874675750732,0.8540287839381843
LS-00110,2026-W30,4.636874675750732,0.8605208530989302
LS-00111,2026-W30,4.636874675750732,0.8606914140799327
LS-00112,2026-W30,4.636874675750732,0.8737277688943562
LS-00113,2026-W30,4.636874675750732,0.8560158585312158
LS-00114,2026-W30,4.636874675750732,0.8619024428197269
LS-00115,2026-W30,4.636874675750732,0.8712590861261507
LS-00116,2026-W30,4.636874675750732,0.8632104066775468
LS-00117,2026-W30,4.636874675750732,0.8184451907360443
LS-00118,2026-W30,4.636874675750732,0.832741573972105
LS-00119,2026-W30,4.636874675750732,0.8587891604092283
LS-00120,2026-W30,4.636874675750732,0.8585038514179787
LS-00121,2026-W30,4.636874675750732,0.6775459143236924
LS-00122,2026-W30,4.636874675750732,0.7812008401339046
LS-00123,2026-W30,4.636874675750732,0.7611550595499064
LS-00124,2026-W30,4.636874675750732,0.8315705838101743
LS-00125,2026-W30,4.636874675750732,0.7511638960951897
LS-00126,2026-W30,4.636874675750732,0.6959175213682902
LS-00127,2026-W30,4.636874675750732,0.7869370238539691
LS-00128,2026-W30,4.636874675750732,0.7700474818683978
LS-00129,2026-W30,4.636874675750732,0.823133963243581
LS-00130,2026-W30,4.636874675750732,0.8580752153150725
LS-00131,2026-W30,4.636874675750732,0.8626038508169861
LS-00132,2026-W30,4.636874675750732,0.8419520490815304
LS-00133,2026-W30,4.636874675750732,0.8598042255213827
LS-00134,2026-W30,4.636874675750732,0.8674369340872319
