pixel_id,rbd_vh,burned,burned_area_hectares,rain_masked,cluster_mean_rbd_vh_burned,cluster_mean_rbd_vh_unburned
PX-142,3.685827230528867,False,0.0,False,5.6207525532984075,1.901463682474826
PX-143,1.3901602663840897,False,0.0,False,5.6207525532984075,1.901463682474826
PX-144,2.1520745787065714,False,0.0,False,5.6207525532984075,1.901463682474826
PX-145,2.674550276816804,False,0.0,False,5.6207525532984075,1.901463682474826
PX-146,3.148464404308358,False,0.0,False,5.6207525532984075,1.901463682474826
PX-147,3.863603764051758,False,0.0,False,5.6207525532984075,1.901463682474826
PX-148,4.796892446977354,True,1.0,False,5.6207525532984075,1.901463682474826
PX-149,5.174205263131702,True,1.0,False,5.6207525532984075,1.901463682474826
PX-150,5.4120338930130725,True,1.0,False,5.6207525532984075,1.901463682474826
PX-151,3.47798540976879,False,0.0,False,5.6207525532984075,1.901463682474826
PX-152,2.3631840385921965,False,0.0,False,5.6207525532984075,1.901463682474826
PX-153,1.4451550951033099,False,0.0,False,5.6207525532984075,1.901463682474826
PX-154,0.9974595541905771,False,0.0,False,5.6207525532984075,1.901463682474826
PX-155,3.361210471990457,False,0.0,False,5.6207525532984075,1.901463682474826
PX-156,3.4967097841328325,False,0.0,False,5.6207525532984075,1.901463682474826
PX-157,3.371361307534965,False,0.0,False,5.6207525532984075,1.901463682474826
PX-158,3.2745255381429867,False,0.0,False,5.6207525532984075,1.901463682474826
PX-159,3.0229800499503163,False,0.0,False,5.6207525532984075,1.901463682474826
PX-160,2.913616669406121,False,0.0,False,5.6207525532984075,1.901463682474826
PX-161,2.859591864720864,False,0.0,False,5.6207525532984075,1.901463682474826
PX-162,3.0096540413475807,False,0.0,False,5.6207525532984075,1.901463682474826
PX-163,2.9790445151698854,False,0.0,False,5.6207525532984075,1.901463682474826
PX-164,2.847521495947719,False,0.0,False,5.6207525532984075,1.901463682474826
PX-165,2.7651665554146323,False,0.0,False,5.6207525532984075,1.901463682474826
PX-166,2.578004234278417,False,0.0,False,5.6207525532984075,1.901463682474826
PX-167,2.49822575200489,False,0.0,False,5.6207525532984075,1.901463682474826
PX-168,2.5544384063003562,False,0.0,False,5.6207525532984075,1.901463682474826
PX-169,2.734470442174514,False,0.0,False,5.6207525532984075,1.901463682474826
PX-170,2.8410143106898644,False,0.0,False,5.6207525532984075,1.901463682474826
PX-171,2.8640850696924094,False,0.0,False,5.6207525532984075,1.901463682474826
PX-172,2.7861258238401074,False,0.0,False,5.6207525532984075,1.901463682474826
PX-173,2.6296662299741946,False,0.0,False,5.6207525532984075,1.901463682474826
PX-174,2.6420608772011,False,0.0,False,5.6207525532984075,1.901463682474826
PX-175,2.7396689518340587,False,0.0,False,5.6207525532984075,1.901463682474826
PX-176,2.65298822488397,False,0.0,False,5.6207525532984075,1.901463682474826
PX-177,2.7559641543235376,False,0.0,False,5.6207525532984075,1.901463682474826
PX-178,2.287980865489967,False,0.0,False,5.6207525532984075,1.901463682474826
PX-179,2.101833176348663,False,0.0,False,5.6207525532984075,1.901463682474826
PX-180,0.9511608067022621,False,0.0,False,5.6207525532984075,1.901463682474826
PX-181,1.377010251778998,False,0.0,False,5.6207525532984075,1.901463682474826
PX-182,1.907988248923644,False,0.0,False,5.6207525532984075,1.901463682474826
