grid_id,iso_week,score_255,risk_category,factor_breakdown
LS-00387,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00388,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00389,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00390,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00391,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00392,2026-W31,38.0,Landslide Unlikely,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00393,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00394,2026-W31,38.0,Landslide Unlikely,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00395,2026-W31,38.0,Landslide Unlikely,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00396,2026-W31,38.0,Landslide Unlikely,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00397,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00398,2026-W31,41.0,Landslide Unlikely,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00399,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00400,2026-W31,38.0,Landslide Unlikely,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00401,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00402,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00403,2026-W31,54.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00404,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00405,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00406,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00407,2026-W31,57.0,Modest Hazard,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': 1.0, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00408,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00409,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00410,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00411,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00412,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00413,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00414,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00415,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00416,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00417,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00418,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00419,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00420,2026-W31,0.0,masked,"{'slope_score': 4.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00421,2026-W31,0.0,masked,"{'slope_score': 4.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00422,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
LS-00423,2026-W31,0.0,masked,"{'slope_score': 4.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00424,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 3.0}"
LS-00425,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': None, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': None, 'aspect_score': 2.0}"
LS-00426,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00427,2026-W31,0.0,masked,"{'slope_score': 2.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00428,2026-W31,0.0,masked,"{'slope_score': 4.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00429,2026-W31,0.0,masked,"{'slope_score': 4.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 2.0}"
LS-00430,2026-W31,0.0,masked,"{'slope_score': 3.0, 'rainfall_score': 1.0, 'ndvi_score': None, 'drainage_score': 1.0, 'landuse_score': 1.0, 'soil_score': 4.0, 'aspect_score': 4.0}"
