pixel_id,lon,lat,rbd_vh,burned,burned_area_hectares,rain_masked,cluster_mean_rbd_vh_burned,cluster_mean_rbd_vh_unburned
PX-092,108.38218818666233,-7.065698867242097,0.6322474079288103,False,0.0,False,1.607720366347629,0.25986592890734783
PX-093,108.38308650194645,-7.065698867242097,0.6085615987329405,False,0.0,False,1.607720366347629,0.25986592890734783
PX-094,108.38398481723057,-7.065698867242097,0.5338514846994951,False,0.0,False,1.607720366347629,0.25986592890734783
PX-095,108.38488313251469,-7.065698867242097,0.449508514709434,False,0.0,False,1.607720366347629,0.25986592890734783
PX-096,108.3857814477988,-7.065698867242097,0.4149732459694171,False,0.0,False,1.607720366347629,0.25986592890734783
PX-097,108.38667976308292,-7.065698867242097,0.3561693477540899,False,0.0,False,1.607720366347629,0.25986592890734783
PX-098,108.38757807836706,-7.065698867242097,0.21917260229080426,False,0.0,False,1.607720366347629,0.25986592890734783
PX-099,108.38847639365117,-7.065698867242097,0.25772063954626745,False,0.0,False,1.607720366347629,0.25986592890734783
PX-100,108.24115268705557,-7.064800551957977,0.4160989407010014,False,0.0,False,1.607720366347629,0.25986592890734783
PX-101,108.2420510023397,-7.064800551957977,0.44662625731506544,False,0.0,False,1.607720366347629,0.25986592890734783
PX-102,108.24294931762381,-7.064800551957977,0.3295651116938991,False,0.0,False,1.607720366347629,0.25986592890734783
PX-103,108.24384763290793,-7.064800551957977,0.3838607292013112,False,0.0,False,1.607720366347629,0.25986592890734783
PX-104,108.24474594819205,-7.064800551957977,0.3860834611559181,False,0.0,False,1.607720366347629,0.25986592890734783
PX-105,108.24564426347617,-7.064800551957977,0.2916519010430303,False,0.0,False,1.607720366347629,0.25986592890734783
PX-106,108.24654257876028,-7.064800551957977,0.19203673594165416,False,0.0,False,1.607720366347629,0.25986592890734783
PX-107,108.2474408940444,-7.064800551957977,0.193894835372161,False,0.0,False,1.607720366347629,0.25986592890734783
PX-108,108.24833920932852,-7.064800551957977,0.1997854597330999,False,0.0,False,1.607720366347629,0.25986592890734783
PX-109,108.24923752461264,-7.064800551957977,0.2337727255888158,False,0.0,False,1.607720366347629,0.25986592890734783
PX-110,108.25013583989676,-7.064800551957977,0.21214202668793014,False,0.0,False,1.607720366347629,0.25986592890734783
